doctor_name,speciality,area,latitude,longitude,fees,rating,contact,address,availability_text,availability_flag
Dr Khushbu Goel (Neurologist),neurology,dwarka,28.5945,77.0477,1000.0,4.1,Manipal Hospital Helpline,"Manipal Hospital, Sector 6, Dwarka, Delhi",Mon–Sat | 11:00 AM – 3:00 PM,1
Dr C S Narayanan (Neurologist),neurology,dwarka,28.5945,77.0477,1000.0,4.5,Manipal Hospital Helpline,"Manipal Hospital, Sector 6, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Sweta Singla,neurology,dwarka,28.594,77.0337,1500.0,4.1,Via Clinic / Practo,"Sector 13, Dwarka, Delhi","Mon–Sat | 10:00 AM – 1:00 PM, 5:00 PM – 8:00 PM",1
Dr Dinesh Sareen,neurology,dwarka,28.5815,77.0459,800.0,3.9,Hospital Helpline,"Venkateshwar Hospital, Sector 18, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Kumar Abhinav,neurology,dwarka,28.5816,77.046,1200.0,4.1,Via Clinic,"Namit Neuro Centre, Sector 18A, Dwarka, Delhi",Tue–Sun | 10:00 AM – 6:00 PM,1
Dr Rajnish Kumar,neurology,dwarka,28.588,77.032,800.0,4.7,+91 8882087545,"Sector 17, Dwarka, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Madhukar Bhardwaj,neurology,dwarka,28.5807,77.0475,1500.0,4.7,Via Clinic,"Sector 19, Dwarka, Delhi",Mon–Fri | 9:00 AM – 2:00 PM,1
Dr Jitendra Kumar,neurology,dwarka,28.594,77.033,1200.0,4.7,Via Clinic,"Sector 13, Dwarka, Delhi","Mon–Sat | 10:00 AM – 1:00 PM, 5:00 PM – 8:00 PM",1
Dr Sankalp Mohan,neurology,dwarka,28.5815,77.0459,1000.0,4.0,Hospital Helpline,"Venkateshwar Hospital, Sector 18A, Dwarka, Delhi",Mon–Sat | 11:00 AM – 3:00 PM,1
Dr Manish Kumar (Neuro Surgeon),neurology,dwarka,28.589,77.058,800.0,4.5,Via Clinic,"Sector 9, Dwarka, Delhi",Tue–Sun | 10:00 AM – 6:00 PM,1
Neuro ENT Clinic Dwarka Mor,neurology,dwarka,28.588,77.024,1500.0,4.5,Via Clinic,"Dwarka Mor, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
Dr Anita Sharma (Pediatric Neurologist),neurology,dwarka,28.595,77.047,1500.0,3.9,Via Clinic,"Sector 4, Dwarka, Delhi",Mon–Fri | 9:00 AM – 2:00 PM,1
Dr Karun Jain,orthopaedics,shahdara,28.6813,77.2905,800.0,3.8,Via Practo/Justdial,"Bhola Nath Nagar, Shahdara, Delhi",Mon–Fri | 9:00 AM – 2:00 PM,1
Dr Sanyam Jain,orthopaedics,shahdara,28.6765,77.292,1000.0,4.3,Via Practo/Justdial,"Mansarovar Park, Shahdara, Delhi","Mon–Sat | 10:00 AM – 1:00 PM, 5:00 PM – 8:00 PM",1
Dr Gagan Arora (CM Patel Hospital),orthopaedics,shahdara,28.6739,77.2892,800.0,4.2,Hospital Helpline,"CM Patel Hospital, Shahdara, Delhi","Mon–Sat | 10:00 AM – 1:00 PM, 5:00 PM – 8:00 PM",1
Dr Rahul Kumar Sahu,orthopaedics,shahdara,28.6821,77.2898,1000.0,4.7,Via Clinic,"Navin Shahdara, Delhi","Mon–Sat | 10:00 AM – 1:00 PM, 5:00 PM – 8:00 PM",1
Dr Mayank Kaushik,orthopaedics,shahdara,28.6892,77.2881,1200.0,4.6,Via Clinic,"West Jyoti Nagar, Shahdara, Delhi","Mon–Sat | 9:30 AM – 1:30 PM, 4:30 PM – 7:30 PM",1
